id_article,nom_article,catégorie,sous_catégorie,prix,description,ingrédients

101,Soupe à l'Oignon,Entrées,Soupes et Potages,7.50,"Soupe traditionnelle aux oignons caramélisés, gratinée au fromage comté","Oignons, bouillon de bœuf, comté, pain baguette"
102,Soupe de Potiron,Entrées,Soupes et Potages,7.00,"Velouté de potiron avec une touche de crème fraîche","Potiron, crème fraîche, noix de muscade"
103,Soupe de Poisson,Entrées,Soupes et Potages,10.00,"Soupe méditerranéenne aux poissons et rouille","Poissons, tomates, safran, rouille"

111,Salade Niçoise,Entrées,Salades et Crudités,9.00,"Salade méditerranéenne avec thon, olives, œufs, et haricots verts","Thon, olives noires, œufs, tomates, vinaigrette"
112,Salade de Chèvre Chaud,Entrées,Salades et Crudités,10.50,"Salade verte avec fromage de chèvre grillé sur toast","Chèvre, salade, noix, vinaigrette"
113,Salade César,Entrées,Salades et Crudités,11.00,"Salade romaine, croûtons, parmesan et sauce césar","Poulet, parmesan, croûtons, sauce césar"

121,Quiche Lorraine,Entrées,Spécialités Chaudes,8.50,"Tarte salée avec lardons, œufs, et crème fraîche","Lardons, œufs, crème, pâte brisée"
122,Feuilleté aux Champignons,Entrées,Spécialités Chaudes,9.00,"Feuilleté croustillant garni de champignons à la crème","Champignons, crème, pâte feuilletée"
123,Bruschetta Tomate-Mozzarella,Entrées,Spécialités Chaudes,8.50,"Pain grillé garni de tomates fraîches et mozzarella","Tomates, mozzarella, basilic, huile d'olive"

131,Carpaccio de Bœuf,Entrées,Spécialités Froides,14.00,"Tranches fines de bœuf marinées à l'huile d'olive et parmesan","Bœuf, parmesan, roquette, huile d'olive"
132,Rillettes de Thon,Entrées,Spécialités Froides,9.50,"Rillettes maison à base de thon et crème fraîche","Thon, crème fraîche, citron, ciboulette"
133,Tartare de Saumon,Entrées,Spécialités Froides,12.00,"Saumon frais coupé au couteau, citron, aneth, et capres","Saumon, aneth, citron, capres, toast"
134,Terrine de Campagne,Entrées,Spécialités Froides,8.00,"Terrine de porc et foie de volaille, cornichons, et pain de seigle","Porc, foie de volaille, épices"
135,Oeufs Mimosa,Entrées,Spécialités Froides,7.50,"Oeufs durs garnis de mayonnaise et jaune d'oeuf","Oeufs, mayonnaise, ciboulette"
136,Avocat Crevettes,Entrées,Spécialités Froides,12.50,"Demi-avocat garni de crevettes et sauce cocktail","Avocat, crevettes, sauce cocktail, citron"





201,Burger Bistrot,Plats,Sandwichs et Burgers,15.00,"Pain brioché, steak haché charolais, oignons confits, roquefort","Bœuf, roquefort, oignons, salade"
202,Croque-Monsieur,Plats,Sandwichs et Burgers,10.00,"Classique jambon et fromage gratiné","Jambon, emmental, pain de mie, béchamel"
