id_article,nom_article,catégorie,sous_catégorie,prix,description,ingrédients
101,Chorba Frik,Entrée,Soupe,500,"Soupe de blé vert concassé et viande","frik (blé vert), agneau haché, oignon, tomates, coriandre, persil, huile d'olive, sel, poivre, piment"
102,Lablabi,Entrée,Soupe,450,"Soupe de pois chiches épicée","pois chiches, ail, cumin, paprika, huile d'olive, pain rassis, œuf (optionnel), coriandre"
103,Harira,Entrée,Soupe,500,"Soupe de lentilles et pois chiches","lentilles, pois chiches, viande de bœuf, oignon, céleri, tomates, coriandre, persil, épices"
104,Chorba Beïda,Entrée,Soupe,450,"Soupe blanche au poulet et vermicelles","vermicelles, poulet, oignon, coriandre, persil, épices"
105,Chorba Loubia,Entrée,Soupe,450,"Soupe de haricots blancs","haricots blancs, oignon, tomate, ail, cumin, coriandre"
106,Chorba Poisson,Entrée,Soupe,500,"Soupe de poisson à l'algéroise","filet de poisson, tomates, oignon, ail, persil, épices"
107,Salade Mechouia,Entrée,Salade,350,"Salade tiède de poivrons et tomates grillés","poivrons, tomates, ail, coriandre, huile d'olive, sel"
108,Salade Fattoush,Entrée,Salade,350,"Salade croquante au sumac et pain grillé","laitue, tomates, concombre, radis, menthe, persil, pain arabe, sumac, huile d'olive, citron"
109,Zaalouk,Entrée,Salade,600,"Caviar froid d’aubergines","aubergines, tomates, ail, coriandre, paprika, huile d'olive"
110,Salade d’Orange,Entrée,Salade,300,"Tranches d'orange à la cannelle","oranges, cannelle, sucre"
111,Salade de Carottes,Entrée,Salade,300,"Carottes râpées assaisonnées","carottes, citron, huile d'olive, ail, persil"
112,Salade de Betterave,Entrée,Salade,300,"Betteraves marinées au citron","betteraves, citron, huile d'olive, sel"
113,Salade Tabbouleh,Entrée,Salade,350,"Persil, menthe et boulgour","persil, menthe, boulgour, tomate, oignon, citron, huile d'olive"
114,Salade Raïta,Entrée,Salade,300,"Yaourt, concombre et menthe","yaourt, concombre, menthe, sel"
115,Bourek Viande,Entrée,Feuilleté,400,"Brick croustillant à la viande hachée","feuille de brick, viande hachée, oignon, persil, œuf, épices"
116,Bourek Fromage,Entrée,Feuilleté,300,"Brick au fromage fondu","feuille de brick, fromage frais, œuf, beurre"
117,Brik à l’Œuf,Entrée,Feuilleté,450,"Brik croustillant œuf et thon","feuille de brick, œuf, thon, câpres, persil"
118,Mhadjeb,Entrée,Feuilleté,250,"Galette semoule farcie légumes","semoule fine, oignon, poivron, tomate, épices"
119,Bourek Épinards,Entrée,Feuilleté,350,"Brick aux épinards et fromage","feuille de brick, épinards, fromage, ail, huile"
120,Bourek Pommes de Terre,Entrée,Feuilleté,350,"Brick pommes de terre épicées","feuille de brick, pommes de terre, cumin, sel, huile"
201,Couscous Poulet,Plat,Couscous,750,"Semoule et morceaux de poulet","semoule, poulet fermier, carottes, navets, courgettes, pois chiches, épices"
202,Couscous Agneau,Plat,Couscous,1000,"Semoule et morceaux d’agneau","semoule, agneau, carottes, navets, pois chiches, épices"
203,Couscous Merguez,Plat,Couscous,900,"Semoule et saucisses merguez","semoule, merguez, pois chiches, légumes, épices"
204,Couscous Poisson,Plat,Couscous,850,"Semoule et poisson en sauce","semoule, filets de poisson, légumes, épices"
205,Couscous Végétarien,Plat,Couscous,700,"Semoule et légumes variés","semoule, carottes, courgettes, navets, pois chiches, épices"
206,Tagine Poulet Citron,Plat,Tagine,3200,"Poulet, citron confit et olives","poulet, citron confit, olives, ail, oignon, coriandre, épices"
207,Tagine Agneau Pruneaux,Plat,Tagine,3400,"Agneau aux pruneaux et amandes","agneau, pruneaux, amandes, miel, épices"
208,Tagine Kefta,Plat,Tagine,2900,"Boulettes de viande en sauce tomate","bœuf haché, oignon, ail, tomates, coriandre, épices"
209,Tagine Poisson,Plat,Tagine,3100,"Poisson aux légumes","filet de poisson, tomates, poivrons, oignon, ail, coriandre, épices"
210,Tagine Légumes,Plat,Tagine,2500,"Gratin de légumes aux épices","aubergines, courgettes, carottes, tomates, oignon, épices"
211,Steak Haché,Plat,Viande,2200,"Steak de bœuf grillé, sauce au poivre","bœuf haché, œuf, chapelure, poivre, crème, beurre"
212,Côtelettes d’Agneau,Plat,Viande,2800,"Côtelettes marinées","côtelettes d’agneau, ail, romarin, huile d'olive, sel, poivre"
213,Brochette de Poulet,Plat,Viande,2000,"Poulet mariné yaourt-épicé","blanc de poulet, yaourt, paprika, cumin, ail, huile"
214,Brochette de Kefta,Plat,Viande,2200,"Boulettes merguez maison","viande hachée, paprika, cumin, coriandre, piment"
215,Brochette d’Agneau,Plat,Viande,2400,"Morceaux d’agneau grillés","agneau, ail, herbes, huile d'olive"
216,Brochette de Dinde,Plat,Viande,1800,"Dinde marinée aux herbes","dinde, ail, thym, huile d'olive"
217,Assiette Mixte,Plat,Viande,3000,"Sélection de grillades variées","agneau, poulet, merguez, épices"
218,Merguez Grillée,Plat,Viande,1200,"Saucisse piquante","merguez, épices"
219,Filet de Dorade,Plat,Poisson,1500,"Dorade au four, citron et herbes","filet de dorade, citron, thym, ail, huile d'olive"
220,Calamars Grillés,Plat,Poisson,2500,"Calamars à l’ail et persil","calamars, ail, persil, huile d'olive, citron"
221,Crevettes Chermoula,Plat,Poisson,3200,"Crevettes marinées et grillées","crevettes, coriandre, persil, cumin, paprika, ail, huile"
222,Saumon Grillé,Plat,Poisson,1800,"Saumon au four, citron et aneth","saumon, citron, aneth, sel, poivre"
223,Tilapia Rôti,Plat,Poisson,1400,"Tilapia et légumes","tilapia, tomates, oignon, herbes, épices"
224,Moussaka,Plat,Végétarien,1000,"Gratin d’aubergines et pommes de terre","aubergines, pommes de terre, tomates, oignon, ail, épices"
225,Shakshouka,Plat,Végétarien,400,"Tomates, poivrons et œufs pochés","tomates, poivrons, œufs, oignon, ail, cumin, paprika"
226,Falafel,Plat,Végétarien,700,"Boulettes de pois chiches frites","pois chiches, oignon, ail, coriandre, persil, épices"
227,Couscous Sec,Plat,Végétarien,300,"Semoule nature","semoule, sel"
228,Gratin Courgettes,Plat,Végétarien,600,"Courgettes gratinées","courgettes, fromage, crème, herbes"
229,Dolma Légumes,Entrée,Feuilleté,400,"Légumes farcis sauce tomate","poivron, aubergine, courgette, riz, tomates, herbes"
301,Flan à la Vanille,Dessert,Gâteau,450,"Flan maison onctueux","lait, œufs, sucre, vanille"
302,Kalb el Louz,Dessert,Gâteau,300,"Gâteau aux amandes et semoule","semoule, amandes, miel, eau de fleur d’oranger"
303,Mhalbi,Dessert,Gâteau,500,"Crème de riz à l'eau de rose","riz, eau, sucre, eau de rose, pistaches"
304,Ghribia,Dessert,Gâteau,400,"Sablés fondants aux amandes","farine, sucre, beurre, amandes"
305,Baklava,Dessert,Pâtisserie,600,"Feuilleté aux noix et miel","pâte filo, noix, beurre, miel"
306,Makroud,Dessert,Pâtisserie,300,"Gâteau semoule et dattes","semoule, pâte de dattes, huile, fleur d'oranger"
307,Zlabia,Dessert,Pâtisserie,300,"Beignet au miel","farine, levure, sucre, miel"
308,Baghrir,Dessert,Gâteau,400,"Crêpe mille trous sucrée","semoule, farine, levure, eau, sucre, sel"
309,Makroud Sésame,Dessert,Pâtisserie,400,"Gâteau semoule-sésame","semoule, tahini, eau, sel"
310,Glace Maison,Dessert,Glace,500,"Glace artisanale selon l’offre","lait, crème, sucre, arômes saisonniers"
401,Riz Pilaf,Accompagnement,Riz,350,"Riz basmati sauté aux oignons","riz basmati, oignon, beurre, sel"
402,Riz aux Vermicelles,Accompagnement,Riz,400,"Riz et vermicelles grillés","riz, vermicelles, beurre, sel"
403,Légumes Grillés,Accompagnement,Légumes,500,"Poivrons, courgettes et aubergines","poivrons, courgettes, aubergines, huile d'olive, sel"
404,Ratatouille,Accompagnement,Légumes,650,"Mélange mijoté de légumes","aubergine, courgette, tomate, poivron, oignon, ail, thym"
405,Pommes de Terre Sautées,Accompagnement,Légumes,400,"Pommes de terre dorées","pommes de terre, ail, persil, huile"
406,Purée de Pommes de Terre,Accompagnement,Légumes,500,"Purée onctueuse","pommes de terre, beurre, lait, sel"
407,Pain Maison,Accompagnement,Pain,0,"Pain traditionnel cuit au four","farine, eau, levure, sel"
408,Msemen,Accompagnement,Pain,300,"Galette feuilletée maison","farine, semoule, eau, sel, huile"
409,Chapati,Accompagnement,Pain,200,"Pain plat nature","farine, eau, sel"
410,Frites Maison,Accompagnement,Pain,400,"Frites croustillantes","pommes de terre, huile, sel"
501,Thé à la Menthe,Boisson,Chaude,300,"Thé vert infusé à la menthe","thé vert, menthe fraîche, sucre, eau"
502,Café Turc,Boisson,Chaude,350,"Café moulu à la turque","café turc, eau, sucre (optionnel)"
503,Café Algérien,Boisson,Chaude,300,"Café court à l'algérienne","café, eau, sucre (optionnel)"
504,Thé Vert Nature,Boisson,Chaude,250,"Thé infusé nature","thé vert, eau"
505,Thé à l'Hibiscus,Boisson,Chaude,300,"Thé rouge parfumé","hibiscus séché, sucre, eau"
506,Café au Lait,Boisson,Chaude,400,"Café au lait chaud","café, lait, sucre (optionnel)"
507,Jus d’Orange Frais,Boisson,Froid,400,"Jus pressé minute","oranges fraîches"
508,Jus de Pomme,Boisson,Froid,400,"Jus naturel de pomme","pommes"
509,Jus de Carotte,Boisson,Froid,450,"Jus pressé de carotte","carottes"
510,Jus de Grenade,Boisson,Froid,450,"Jus naturel de grenade","grenades"
511,Jus de Pastèque,Boisson,Froid,450,"Jus frais de pastèque","pastèque"
512,Limonade Maison,Boisson,Froid,350,"Limonade citron-menthe","citron, sucre, menthe, eau"
513,Eau Minérale,Boisson,Froid,100,"Bouteille 50 cl","eau minérale"
514,Eau Gazeuse,Boisson,Froid,150,"Bouteille 50 cl","eau gazeuse"
515,Soda,Boisson,Froid,150,"Assortiment de sodas","eau gazeuse, arômes, sucre"
